Module Name: KeyGenMeC:\Users\16481\Desktop\KeyGenMe.exe Module Base 00400000
SectionNumber: 00000001   SectionVirtualAddress: 00401000
SectionNumber: 00000002   SectionVirtualAddress: 00500000
SectionNumber: 00000003   SectionVirtualAddress: 00524000
SectionNumber: 00000004   SectionVirtualAddress: 00549000
seg:offset: 0001:00000874  Address: 00401874  symbol£ºloc_401874
seg:offset: 0001:00000878  Address: 00401878  symbol£ºoff_401878
seg:offset: 0001:000008A0  Address: 004018a0  symbol£ºkrnln_?SetMDataValue@@YAHPAUMDATA_INF@@PAEH@Z
seg:offset: 0001:000008CF  Address: 004018cf  symbol£ºloc_4018CF
seg:offset: 0001:000008E2  Address: 004018e2  symbol£ºloc_4018E2
seg:offset: 0001:00000911  Address: 00401911  symbol£ºloc_401911
seg:offset: 0001:0000092D  Address: 0040192d  symbol£ºloc_40192D
seg:offset: 0001:00000936  Address: 00401936  symbol£ºloc_401936
seg:offset: 0001:00000949  Address: 00401949  symbol£ºloc_401949
seg:offset: 0001:00000964  Address: 00401964  symbol£ºloc_401964
seg:offset: 0001:00000978  Address: 00401978  symbol£ºloc_401978
seg:offset: 0001:0000097D  Address: 0040197d  symbol£ºloc_40197D
seg:offset: 0001:00000996  Address: 00401996  symbol£ºloc_401996
seg:offset: 0001:000009A3  Address: 004019a3  symbol£ºloc_4019A3
seg:offset: 0001:000009BA  Address: 004019ba  symbol£ºloc_4019BA
seg:offset: 0001:000009C7  Address: 004019c7  symbol£ºloc_4019C7
seg:offset: 0001:000009D6  Address: 004019d6  symbol£ºloc_4019D6
seg:offset: 0001:000009E4  Address: 004019e4  symbol£ºloc_4019E4
seg:offset: 0001:000009F7  Address: 004019f7  symbol£ºloc_4019F7
seg:offset: 0001:000009FF  Address: 004019ff  symbol£ºloc_4019FF
seg:offset: 0001:00000A04  Address: 00401a04  symbol£ºoff_401A04
seg:offset: 0001:00000A20  Address: 00401a20  symbol£ºkrnln_?GetAryElementInf@@YAPAEPAXPAH@Z
seg:offset: 0001:00000A33  Address: 00401a33  symbol£ºloc_401A33
seg:offset: 0001:00000A3F  Address: 00401a3f  symbol£ºloc_401A3F
seg:offset: 0001:00000A49  Address: 00401a49  symbol£ºlocret_401A49
seg:offset: 0001:00000A50  Address: 00401a50  symbol£ºkrnln_?GetNumDataTypeSize@@YAHK@Z
seg:offset: 0001:00000A72  Address: 00401a72  symbol£ºloc_401A72
seg:offset: 0001:00000A78  Address: 00401a78  symbol£ºloc_401A78
seg:offset: 0001:00000A7E  Address: 00401a7e  symbol£ºloc_401A7E
seg:offset: 0001:00000A84  Address: 00401a84  symbol£ºloc_401A84
seg:offset: 0001:00000A8A  Address: 00401a8a  symbol£ºloc_401A8A
seg:offset: 0001:00000A98  Address: 00401a98  symbol£ºloc_401A98
seg:offset: 0001:00000AA0  Address: 00401aa0  symbol£º_krnln_fnPow
seg:offset: 0001:00000AC0  Address: 00401ac0  symbol£º_krnln_fnIDiv
seg:offset: 0001:00000AE6  Address: 00401ae6  symbol£ºloc_401AE6
seg:offset: 0001:00000B06  Address: 00401b06  symbol£ºloc_401B06
seg:offset: 0001:00000B33  Address: 00401b33  symbol£ºloc_401B33
seg:offset: 0001:00000B50  Address: 00401b50  symbol£º_krnln_fnMod
seg:offset: 0001:00000B76  Address: 00401b76  symbol£ºloc_401B76
seg:offset: 0001:00000B96  Address: 00401b96  symbol£ºloc_401B96
seg:offset: 0001:00000BB7  Address: 00401bb7  symbol£ºloc_401BB7
seg:offset: 0001:00000BD0  Address: 00401bd0  symbol£ºkrnln_?RunBitOper@@YAXHPAUMDATA_INF@@H0@Z
seg:offset: 0001:00000BE8  Address: 00401be8  symbol£ºloc_401BE8
seg:offset: 0001:00000BFC  Address: 00401bfc  symbol£ºloc_401BFC
seg:offset: 0001:00000C00  Address: 00401c00  symbol£ºloc_401C00
seg:offset: 0001:00000C02  Address: 00401c02  symbol£ºloc_401C02
seg:offset: 0001:00000C0E  Address: 00401c0e  symbol£ºloc_401C0E
seg:offset: 0001:00000C20  Address: 00401c20  symbol£º_krnln_fnTextLikeEqu
seg:offset: 0001:00000C67  Address: 00401c67  symbol£ºloc_401C67
seg:offset: 0001:00000C70  Address: 00401c70  symbol£º_krnln_fnBNot
seg:offset: 0001:00000C80  Address: 00401c80  symbol£º_krnln_fnBAnd
seg:offset: 0001:00000CA0  Address: 00401ca0  symbol£º_krnln_fnBOr
seg:offset: 0001:00000CC0  Address: 00401cc0  symbol£º_krnln_fnBXor
seg:offset: 0001:00000D00  Address: 00401d00  symbol£º_krnln_fnRun
seg:offset: 0001:00000D31  Address: 00401d31  symbol£ºloc_401D31
seg:offset: 0001:00000D41  Address: 00401d41  symbol£ºloc_401D41
seg:offset: 0001:00000D46  Address: 00401d46  symbol£ºloc_401D46
seg:offset: 0001:00000D4B  Address: 00401d4b  symbol£ºloc_401D4B
seg:offset: 0001:00000D62  Address: 00401d62  symbol£ºloc_401D62
seg:offset: 0001:00000D6E  Address: 00401d6e  symbol£ºloc_401D6E
seg:offset: 0001:00000D7C  Address: 00401d7c  symbol£ºloc_401D7C
seg:offset: 0001:00000D8A  Address: 00401d8a  symbol£ºloc_401D8A
seg:offset: 0001:00000D9C  Address: 00401d9c  symbol£ºloc_401D9C
seg:offset: 0001:00000DD7  Address: 00401dd7  symbol£ºloc_401DD7
seg:offset: 0001:00000DE7  Address: 00401de7  symbol£ºloc_401DE7
seg:offset: 0001:00000E07  Address: 00401e07  symbol£ºloc_401E07
seg:offset: 0001:00000E20  Address: 00401e20  symbol£º_krnln_fnGetHWnd
seg:offset: 0001:00000E38  Address: 00401e38  symbol£ºloc_401E38
seg:offset: 0001:00000E50  Address: 00401e50  symbol£º_krnln_fnLoadWin
seg:offset: 0001:00000E7F  Address: 00401e7f  symbol£ºloc_401E7F
seg:offset: 0001:00000EAB  Address: 00401eab  symbol£ºloc_401EAB
seg:offset: 0001:00000EC0  Address: 00401ec0  symbol£º_krnln_fnLen
seg:offset: 0001:00000EE0  Address: 00401ee0  symbol£º_krnln_fnBinLen
seg:offset: 0001:00000EF1  Address: 00401ef1  symbol£ºloc_401EF1
seg:offset: 0001:00000F00  Address: 00401f00  symbol£º_krnln_fnGetRunPath
seg:offset: 0001:00000F20  Address: 00401f20  symbol£º_krnln_fnGetRunFileName
seg:offset: 0001:00000F40  Address: 00401f40  symbol£º_krnln_fnSgn
seg:offset: 0001:00000F5C  Address: 00401f5c  symbol£ºloc_401F5C
seg:offset: 0001:00000F77  Address: 00401f77  symbol£ºloc_401F77
seg:offset: 0001:00000F90  Address: 00401f90  symbol£º_krnln_fnAbs
seg:offset: 0001:00000FAE  Address: 00401fae  symbol£ºloc_401FAE
seg:offset: 0001:00000FC0  Address: 00401fc0  symbol£ºkrnln_?ProcessDouble@@YANN@Z
seg:offset: 0001:00000FE9  Address: 00401fe9  symbol£ºloc_401FE9
seg:offset: 0001:00001017  Address: 00402017  symbol£ºloc_402017
seg:offset: 0001:00001023  Address: 00402023  symbol£ºloc_402023
seg:offset: 0001:00001030  Address: 00402030  symbol£º_krnln_fnInt
seg:offset: 0001:00001060  Address: 00402060  symbol£º_krnln_fnFix
seg:offset: 0001:000010A0  Address: 004020a0  symbol£ºkrnln_?RoundDouble@@YANNH@Z
seg:offset: 0001:000010BC  Address: 004020bc  symbol£ºloc_4020BC
seg:offset: 0001:000010DD  Address: 004020dd  symbol£ºloc_4020DD
seg:offset: 0001:0000113E  Address: 0040213e  symbol£ºloc_40213E
seg:offset: 0001:00001147  Address: 00402147  symbol£ºloc_402147
seg:offset: 0001:0000114B  Address: 0040214b  symbol£ºloc_40214B
seg:offset: 0001:00001183  Address: 00402183  symbol£ºloc_402183
seg:offset: 0001:000011D2  Address: 004021d2  symbol£ºloc_4021D2
seg:offset: 0001:000011D6  Address: 004021d6  symbol£ºloc_4021D6
seg:offset: 0001:000011DE  Address: 004021de  symbol£ºloc_4021DE
seg:offset: 0001:000011F0  Address: 004021f0  symbol£º_krnln_fnRound
seg:offset: 0001:000011FF  Address: 004021ff  symbol£ºloc_4021FF
seg:offset: 0001:00001202  Address: 00402202  symbol£ºloc_402202
seg:offset: 0001:00001220  Address: 00402220  symbol£º_krnln_fnSqr
seg:offset: 0001:00001230  Address: 00402230  symbol£º_krnln_fnSin
seg:offset: 0001:00001240  Address: 00402240  symbol£º_krnln_fnCos
seg:offset: 0001:00001250  Address: 00402250  symbol£º_krnln_fnTan
seg:offset: 0001:00001270  Address: 00402270  symbol£º_krnln_fnAtn
seg:offset: 0001:00001290  Address: 00402290  symbol£º_krnln_fnLog
seg:offset: 0001:000012B0  Address: 004022b0  symbol£º_krnln_fnExp
seg:offset: 0001:000012E0  Address: 004022e0  symbol£º_krnln_fnIsCalcOK
seg:offset: 0001:00001300  Address: 00402300  symbol£º_krnln_fnRandomize
seg:offset: 0001:00001333  Address: 00402333  symbol£ºloc_402333
seg:offset: 0001:00001340  Address: 00402340  symbol£º_krnln_fnGetCmdLine
seg:offset: 0001:00001358  Address: 00402358  symbol£ºloc_402358
seg:offset: 0001:0000135E  Address: 0040235e  symbol£ºloc_40235E
seg:offset: 0001:0000136A  Address: 0040236a  symbol£ºloc_40236A
seg:offset: 0001:00001370  Address: 00402370  symbol£ºloc_402370
seg:offset: 0001:0000137B  Address: 0040237b  symbol£ºloc_40237B
seg:offset: 0001:00001396  Address: 00402396  symbol£ºloc_402396
seg:offset: 0001:000013A4  Address: 004023a4  symbol£ºloc_4023A4
seg:offset: 0001:000013B8  Address: 004023b8  symbol£ºloc_4023B8
seg:offset: 0001:000013C0  Address: 004023c0  symbol£ºloc_4023C0
seg:offset: 0001:000013E5  Address: 004023e5  symbol£ºloc_4023E5
seg:offset: 0001:000013EF  Address: 004023ef  symbol£ºloc_4023EF
seg:offset: 0001:00001407  Address: 00402407  symbol£ºloc_402407
seg:offset: 0001:0000140F  Address: 0040240f  symbol£ºloc_40240F
seg:offset: 0001:0000142B  Address: 0040242b  symbol£ºloc_40242B
seg:offset: 0001:0000142C  Address: 0040242c  symbol£ºloc_40242C
seg:offset: 0001:00001436  Address: 00402436  symbol£ºloc_402436
seg:offset: 0001:000014CE  Address: 004024ce  symbol£ºloc_4024CE
seg:offset: 0001:000014E0  Address: 004024e0  symbol£ºunknown_libname_336
seg:offset: 0001:000014F8  Address: 004024f8  symbol£ºloc_4024F8
seg:offset: 0001:00001500  Address: 00402500  symbol£ºunknown_libname_337
seg:offset: 0001:00001510  Address: 00402510  symbol£º_krnln_fnSortAry
seg:offset: 0001:0000153D  Address: 0040253d  symbol£ºloc_40253D
seg:offset: 0001:00001545  Address: 00402545  symbol£ºloc_402545
seg:offset: 0001:00001581  Address: 00402581  symbol£ºloc_402581
seg:offset: 0001:00001590  Address: 00402590  symbol£ºSortCompare(void const *,void const *)
seg:offset: 0001:000015DA  Address: 004025da  symbol£ºloc_4025DA
seg:offset: 0001:000015F5  Address: 004025f5  symbol£ºloc_4025F5
seg:offset: 0001:0000160D  Address: 0040260d  symbol£ºloc_40260D
seg:offset: 0001:00001629  Address: 00402629  symbol£ºloc_402629
seg:offset: 0001:0000162E  Address: 0040262e  symbol£ºloc_40262E
seg:offset: 0001:00001630  Address: 00402630  symbol£ºloc_402630
seg:offset: 0001:00001634  Address: 00402634  symbol£ºloc_402634
seg:offset: 0001:00001638  Address: 00402638  symbol£ºloc_402638
seg:offset: 0001:0000165E  Address: 0040265e  symbol£ºloc_40265E
seg:offset: 0001:0000166B  Address: 0040266b  symbol£ºloc_40266B
seg:offset: 0001:00001683  Address: 00402683  symbol£ºloc_402683
seg:offset: 0001:0000168E  Address: 0040268e  symbol£ºloc_40268E
seg:offset: 0001:00001690  Address: 00402690  symbol£ºloc_402690
seg:offset: 0001:0000169D  Address: 0040269d  symbol£ºloc_40269D
seg:offset: 0001:000016A0  Address: 004026a0  symbol£º_krnln_fnZeroAry
seg:offset: 0001:000016F8  Address: 004026f8  symbol£ºloc_4026F8
seg:offset: 0001:00001700  Address: 00402700  symbol£º_krnln_fnGetEnv
seg:offset: 0001:00001720  Address: 00402720  symbol£º_krnln_fnPutEnv
seg:offset: 0001:00001780  Address: 00402780  symbol£º_krnln_fnGetAllPY
seg:offset: 0001:00001865  Address: 00402865  symbol£ºloc_402865
seg:offset: 0001:000018A1  Address: 004028a1  symbol£ºloc_4028A1
seg:offset: 0001:000018BD  Address: 004028bd  symbol£ºloc_4028BD
seg:offset: 0001:000018D3  Address: 004028d3  symbol£ºloc_4028D3
seg:offset: 0001:0000191C  Address: 0040291c  symbol£ºloc_40291C
seg:offset: 0001:00001958  Address: 00402958  symbol£ºloc_402958
seg:offset: 0001:00001984  Address: 00402984  symbol£ºloc_402984
seg:offset: 0001:000019F0  Address: 004029f0  symbol£º_krnln_fnGetPYCount
seg:offset: 0001:00001A73  Address: 00402a73  symbol£ºloc_402A73
seg:offset: 0001:00001A8D  Address: 00402a8d  symbol£ºloc_402A8D
seg:offset: 0001:00001A90  Address: 00402a90  symbol£º_krnln_fnRnd
seg:offset: 0001:00001AA0  Address: 00402aa0  symbol£ºloc_402AA0
seg:offset: 0001:00001AAE  Address: 00402aae  symbol£ºloc_402AAE
seg:offset: 0001:00001ABC  Address: 00402abc  symbol£ºloc_402ABC
seg:offset: 0001:00001AC9  Address: 00402ac9  symbol£ºloc_402AC9
seg:offset: 0001:00001AD1  Address: 00402ad1  symbol£ºloc_402AD1
seg:offset: 0001:00001AD7  Address: 00402ad7  symbol£ºloc_402AD7
seg:offset: 0001:00001AE3  Address: 00402ae3  symbol£ºloc_402AE3
seg:offset: 0001:00001AF4  Address: 00402af4  symbol£ºloc_402AF4
seg:offset: 0001:00001B10  Address: 00402b10  symbol£ºkrnln_?GetPY@@YAXPAUMDATA_INF@@H0H@Z
seg:offset: 0001:00001BC2  Address: 00402bc2  symbol£ºloc_402BC2
seg:offset: 0001:00001BDE  Address: 00402bde  symbol£ºloc_402BDE
seg:offset: 0001:00001C2B  Address: 00402c2b  symbol£ºloc_402C2B
seg:offset: 0001:00001C6C  Address: 00402c6c  symbol£ºloc_402C6C
seg:offset: 0001:00001C90  Address: 00402c90  symbol£º_krnln_fnGetPY
seg:offset: 0001:00001CB0  Address: 00402cb0  symbol£º_krnln_fnGetSM
seg:offset: 0001:00001CD0  Address: 00402cd0  symbol£º_krnln_fnGetYM
seg:offset: 0001:00001CF0  Address: 00402cf0  symbol£º_krnln_fnCompPY
seg:offset: 0001:00001D12  Address: 00402d12  symbol£ºloc_402D12
seg:offset: 0001:00001D15  Address: 00402d15  symbol£ºloc_402D15
seg:offset: 0001:00001D39  Address: 00402d39  symbol£ºloc_402D39
seg:offset: 0001:00001D40  Address: 00402d40  symbol£ºloc_402D40
seg:offset: 0001:00001D4C  Address: 00402d4c  symbol£ºloc_402D4C
seg:offset: 0001:00001D79  Address: 00402d79  symbol£ºloc_402D79
seg:offset: 0001:00001DAD  Address: 00402dad  symbol£ºloc_402DAD
seg:offset: 0001:00001E07  Address: 00402e07  symbol£ºloc_402E07
seg:offset: 0001:00001E24  Address: 00402e24  symbol£ºloc_402E24
seg:offset: 0001:00001E39  Address: 00402e39  symbol£ºloc_402E39
seg:offset: 0001:00001E9E  Address: 00402e9e  symbol£ºloc_402E9E
seg:offset: 0001:00001EAF  Address: 00402eaf  symbol£ºloc_402EAF
seg:offset: 0001:00001EC1  Address: 00402ec1  symbol£ºloc_402EC1
seg:offset: 0001:00001ED1  Address: 00402ed1  symbol£ºloc_402ED1
seg:offset: 0001:00001EF1  Address: 00402ef1  symbol£ºloc_402EF1
seg:offset: 0001:00001F36  Address: 00402f36  symbol£ºloc_402F36
seg:offset: 0001:00001F43  Address: 00402f43  symbol£ºloc_402F43
seg:offset: 0001:00001F47  Address: 00402f47  symbol£ºloc_402F47
seg:offset: 0001:00001F60  Address: 00402f60  symbol£ºloc_402F60
seg:offset: 0001:00001F72  Address: 00402f72  symbol£ºloc_402F72
seg:offset: 0001:00001F84  Address: 00402f84  symbol£ºloc_402F84
seg:offset: 0001:00001F8C  Address: 00402f8c  symbol£ºloc_402F8C
seg:offset: 0001:00001F9A  Address: 00402f9a  symbol£ºloc_402F9A
seg:offset: 0001:00001FB9  Address: 00402fb9  symbol£ºloc_402FB9
seg:offset: 0001:00001FC3  Address: 00402fc3  symbol£ºloc_402FC3
